iter	Logloss
0	0.688009544
1	0.6831875637
2	0.6789103338
3	0.6755763072
4	0.6725305047
5	0.6695294728
6	0.6665044337
7	0.6633677881
8	0.661219252
9	0.6590341899
10	0.6559127088
11	0.6538669668
12	0.651439147
13	0.6494492076
14	0.6476983308
15	0.6460511299
16	0.6443555257
17	0.6428206088
18	0.6413129542
19	0.6396766331
20	0.6381571955
21	0.6373728006
22	0.6362183355
23	0.6352385535
24	0.6339869558
25	0.6328377299
26	0.6317402328
27	0.6305930498
28	0.6296505722
29	0.6290905451
30	0.6285798199
31	0.6280106298
32	0.6269560414
33	0.6261146217
34	0.6254843758
35	0.6251261393
36	0.6246551806
37	0.6240613065
38	0.6231928917
39	0.6225618347
40	0.6219985991
41	0.621236695
42	0.6207050327
43	0.6202266281
44	0.6195031736
45	0.6190052255
46	0.6181527007
47	0.6174679981
48	0.6169841399
49	0.6164128731
50	0.6161429711
51	0.6156624283
52	0.6153301147
53	0.6148874506
54	0.6145244926
55	0.6143010439
56	0.6139301252
57	0.6135048002
58	0.6132585664
59	0.6129188352
60	0.6126139132
61	0.6122439417
62	0.6119199878
63	0.6114524449
64	0.6111840693
65	0.6106964221
66	0.610199612
67	0.6099159523
68	0.6093812351
69	0.6090713585
70	0.6087966037
71	0.6085296045
72	0.608079922
73	0.6076367983
74	0.6073653581
75	0.6070292787
76	0.6067401643
77	0.606449967
78	0.6061247535
79	0.6058295419
80	0.6056275541
81	0.6052595459
82	0.6048381802
83	0.6045290263
84	0.6043302568
85	0.6041788838
86	0.6039928147
87	0.6037703499
88	0.6034906091
89	0.6032521343
90	0.6030652925
91	0.6027321361
92	0.6024948461
93	0.6022460493
94	0.6020275207
95	0.6017839155
96	0.601604019
97	0.6013864558
98	0.6012895448
99	0.6011294942
100	0.6007401523
101	0.6005902185
102	0.6004574064
103	0.6002118869
104	0.6000281511
105	0.5997965639
106	0.5994542187
107	0.5990881297
108	0.5988343173
109	0.5986529167
110	0.5984177311
111	0.5981066116
112	0.5979187137
113	0.5975965536
114	0.5973256342
115	0.5970435448
116	0.5967036638
117	0.5964937032
118	0.5963480951
119	0.5960448315
120	0.5957407339
121	0.5954292652
122	0.5952789128
123	0.5949844942
124	0.5947851245
125	0.5946110112
126	0.5943214193
127	0.5941286653
128	0.5938147666
129	0.5935831661
130	0.5934005228
131	0.5932704285
132	0.5929900051
133	0.5928821963
134	0.5927112438
135	0.5923508756
136	0.592114045
137	0.5919179858
138	0.5917170861
139	0.5915178146
140	0.5912352064
141	0.5911703409
142	0.5910985952
143	0.59095664
144	0.5907318074
145	0.5905792137
146	0.5902272208
147	0.5901444096
148	0.5899950502
149	0.5898269966
